type,area,floor,price,address,url
雅房,5坪,樓層：6/7,"7,500",信義區-吳興街, //rent.591.com.tw/rent-detail-8623334.html  
雅房,5坪,樓層：3/4,"10,000",大安區-忠孝東路四段17巷, //rent.591.com.tw/rent-detail-8649617.html  
車位,類型：平面式,10坪,"2,600",內湖區-康寧路一段, //rent.591.com.tw/rent-detail-8655260.html  
獨立套房,7坪,樓層：5/7,"17,500",士林區-天母北路9巷, //rent.591.com.tw/rent-detail-8655262.html  
獨立套房,8坪,樓層：2/7,"13,800",中山區-一江街, //rent.591.com.tw/rent-detail-8628905.html  
分租套房,10坪,樓層：3/5,"68,250",信義區-忠孝東路五段236巷, //rent.591.com.tw/rent-detail-8613160.html  
獨立套房,8坪,樓層：2/7,"28,000",中山區-中山北路二段65巷, //rent.591.com.tw/rent-detail-8659630.html  
獨立套房,8坪,樓層：4/6,"16,800",中山區-中山北路二段137巷1號, //rent.591.com.tw/rent-detail-8582138.html  
雅房,9坪,樓層：5/6,"15,000",文山區-新光路一段8號, //rent.591.com.tw/rent-detail-7641665.html  
雅房,6坪,樓層：2/6,"10,000",信義區-吳興街284巷43號, //rent.591.com.tw/rent-detail-8573892.html  
雅房,6坪,樓層：11/11,"8,700",萬華區-長沙街二段, //rent.591.com.tw/rent-detail-8642479.html  
雅房,4.2坪,樓層：6/7,"8,700",中山區-龍江路, //rent.591.com.tw/rent-detail-8642482.html  
雅房,10坪,樓層：4/11,"7,900",大安區-信義路三段, //rent.591.com.tw/rent-detail-8642409.html  
分租套房,6坪,樓層：5/6,"11,000",中正區-羅斯福路三段240巷7弄4號, //rent.591.com.tw/rent-detail-8671493.html  
分租套房,10坪,樓層：5/7,"16,500",松山區-八德路四段91巷, //rent.591.com.tw/rent-detail-8474961.html  
獨立套房,8坪,樓層：7/8,"16,500",士林區-文林路, //rent.591.com.tw/rent-detail-8659951.html  
車位,類型：平面式,10坪,"3,666",士林區-忠誠路二段207巷6號, //rent.591.com.tw/rent-detail-8603866.html  
分租套房,5坪,樓層：3/6,"16,500",大安區-安和路一段21巷, //rent.591.com.tw/rent-detail-8537152.html  
獨立套房,7.5坪,樓層：5/7,"18,500",松山區-民權東路三段160巷, //rent.591.com.tw/rent-detail-8473340.html  
